id,Thriller,Biography,Romance,Adventure,Sci-Fi,Comedy,Musical,Horror,Drama,Action,Fantasy,Western,History,Family,Crime,Mystery,War,Animation
1,,,,X,,X,,,,,X,,,X,,,,X
32,X,,,,X,,,,,,,,,,,X,,
47,X,,,,,,,,X,,,,,,X,X,,
50,X,,,,,,,,,,,,,,X,X,,
110,,X,,,,,,,X,,,,X,,,,X,
150,,,,X,,,,,X,,,,X,,,,,
165,X,,,X,,,,,,X,,,,,,,,
260,,,,X,X,,,,,X,X,,,,,,,
296,,,,,,,,,X,,,,,,X,,,
318,,,,,,,,,X,,,,,,,,,
344,,,,,,X,,,,,,,,,,,,
356,,,X,,,,,,X,,,,,,,,,
364,,,,X,,,X,,X,,,,,X,,,,X
367,,,,,,X,,,,,X,,,,,,,
377,X,,,X,,,,,,X,,,,,X,,,
380,X,,,,,X,,,,X,,,,,,,,
457,X,,,,,,,,X,X,,,,,X,X,,
480,X,,,X,X,,,,,,,,,,,,,
500,,,,,,X,,,X,,,,,X,,,,
527,,X,,,,,,,X,,,,X,,,,,
588,,,X,X,,X,X,,,,X,,,X,,,,X
589,,,,,X,,,,,X,,,,,,,,
590,,,,X,,,,,X,,,X,,,,,,
592,,,,X,,,,,,X,,,,,,,,
593,X,,,,,,,,X,,,,,,X,,,
595,,,X,,,,X,,,,X,,,X,,,,X
608,X,,,,,,,,X,,,,,,X,,,
648,X,,,X,,,,,,X,,,,,,,,
780,,,,X,X,,,,,X,,,,,,,,
858,,,,,,,,,X,,,,,,X,,,
1036,X,,,,,,,,,X,,,,,,,,
1196,,,,X,X,,,,,X,X,,,,,,,
1198,,,,X,,,,,,X,,,,,,,,
1210,,,,X,X,,,,,X,X,,,,,,,
1214,,,,,X,,,X,,,,,,,,,,
1270,,,,X,X,X,,,,,,,,,,,,
1580,,,,X,X,X,,,,,,,,,,X,,
2028,,,,,,,,,X,,,,,,,,X,
2571,,,,,X,,,,,X,,,,,,,,
2762,X,,,,,,,,X,,,,,,,X,,
2858,,,,,,,,,X,,,,,,,,,
2959,,,,,,,,,X,,,,,,,,,
3578,,,,X,,,,,X,X,,,,,,,,
4226,X,,,,,,,,,,,,,,,X,,
4306,,,,X,,X,,,,,X,,,X,,,,X
4993,,,,X,,,,,X,,X,,,,,,,
5952,,,,X,,,,,X,,X,,,,,,,
6539,,,,X,,,,,,X,X,,,,,,,
7153,,,,X,,,,,X,,X,,,,,,,
58559,X,,,,,,,,X,X,,,,,X,,,
